ssip,sdfp,sdfb,sfe,rfip,traffic_type
1,194.14475913606321,294198.5115848651,1,1.0,0
1,194.0051545706969,294114.4380594057,1,1.0,0
2,166.388100536066,253150.6085317592,2,1.0,0
1,193.5915481109648,293863.40580063727,1,1.0,0
2,166.3183861019447,253108.11599108303,2,1.0,0
3,280.69166357410757,426061.75304380467,3,1.0,0
2,331.1010252006008,502639.699912041,2,1.0,0
2,330.8190173224965,502468.4381761925,2,1.0,0
2,292.7370567164328,445970.89912907995,2,1.0,0
2,329.20054677961883,502306.839339484,2,1.0,0
4,315.3820164919532,479763.07979898166,4,1.0,0
4,259.4264507203021,394895.2411702234,4,1.0,0
4,242.19595920052265,370017.7710830183,4,1.0,0
3,279.25364814089716,425104.7572368957,3,1.0,0
2,327.7934647846957,502160.33243764774,2,1.0,0
4,312.19807455380317,475899.7576521847,4,1.0,0
1,15.0,1470.0,1,1.0,0
4,238.1868157217638,363836.68971657933,4,1.0,0
3,273.9291149184402,418303.10664856416,3,1.0,0
4,242.4907071529867,372166.11014658347,4,1.0,0
3,431.0541033327487,658762.163262463,3,1.0,0
5,355.9892027857025,544213.2056703513,5,1.0,0
4,317.6379019177244,487164.85030472855,4,1.0,0
3,431.0541033327487,658762.163262463,3,1.0,0
1,15.0,1470.0,1,1.0,0
5,465.22453836158513,707905.3422418914,5,1.0,0
1,15.0,1470.0,1,1.0,0
4,453.37235226237425,695233.0434124155,4,1.0,0
4,526.8660487574933,802987.0101926203,4,1.0,0
5,464.56631321588526,710609.6940850226,5,1.0,0
5,464.22411327261966,707647.3138167836,5,1.0,0
0,0.0,0.0,0,1.0,0
4,455.94673874415264,694251.0579839078,4,1.0,0
5,425.59957706745905,653415.3404802626,5,1.0,0
2,24.904261125803796,2440.617590328772,2,1.0,0
4,453.8781190350284,695276.4568921414,4,1.0,0
5,289.63505458378137,444617.76006756636,5,1.0,0
4,21.56901069178237,2113.7630477946723,4,1.0,0
4,20.00347192086636,1960.3402482449035,4,1.0,0
0,0.0,0.0,0,1.0,0
2,24.904261125803796,2440.617590328772,2,1.0,0
5,215.67278456031488,330890.8116630016,5,1.0,0
5,288.37039441489134,443591.7149544549,5,1.0,0
6,262.5238036826375,403770.4766792515,6,1.0,0
0,0.0,0.0,0,1.0,0
4,20.00347192086636,1960.3402482449035,4,1.0,0
4,21.56901069178237,2113.7630477946723,4,1.0,0
2,24.904261125803796,2440.617590328772,2,1.0,0
0,0.0,0.0,0,1.0,0
2,25.311394008759507,2480.516612858432,2,1.0,0
7,251.29496020571796,386846.3145484295,7,1.0,0
5,287.6395041975285,443230.55565804295,5,1.0,0
4,20.2875166871979,1988.1766353453945,4,1.0,0
6,40.049236672185046,54236.52377376087,6,1.0,0
5,286.9609076163511,442952.6486927666,5,1.0,0
2,29.4542960458327,2886.521012491604,2,1.0,0
0,0.0,0.0,0,1.0,0
8,241.1550187235496,371778.91403075686,8,1.0,0
4,30.592641635240035,2998.0788802535235,4,1.0,0
6,188.0887822279681,293298.1094739446,6,1.0,0
2,34.88552708502482,3418.781654332432,2,1.0,0
5,290.1330984974827,443360.3748377272,5,1.0,0
8,169.00346622964022,260408.25955439263,8,1.0,0
0,0.0,0.0,0,1.0,0
8,241.67660899088546,371899.9527086011,8,1.0,0
4,38.59027317438255,3781.8467710894897,4,1.0,0
4,343.42356217294633,527342.4736589591,4,1.0,0
0,0.0,0.0,0,1.0,0
7,181.61327089529897,280496.63614248193,7,1.0,0
2,33.369979855486214,3270.258025837649,2,1.0,0
4,38.52154880352324,3775.111782745277,4,1.0,0
7,263.32931963325393,406804.3016785815,7,1.0,0
4,25.6465018190699,2719.78824236986,4,1.0,0
4,35.77594677079753,3525.063947892959,4,1.0,0
1,35.5,3479.0,1,1.0,0
4,493.034191801861,752509.5267944098,4,1.0,0
8,175.29021570590362,269131.4571917592,8,1.0,0
8,385.47413085128755,592147.6881465691,8,1.0,0
3,561.7903612558692,863041.1737211383,3,1.0,0
4,242.19257431960125,372036.7508454493,4,1.0,0
6,415.14542933772015,642930.982550841,6,1.0,0
4,241.48510421049897,371944.0339431308,4,1.0,0
1,35.5,3479.0,1,1.0,0
6,198.65607882549423,308096.74473196256,6,1.0,0
4,518.7060037895715,786876.0103348494,4,1.0,0
5,278.5479929473555,430450.39921965386,5,1.0,0
8,407.8610853348914,629006.5917489568,8,1.0,0
3,243.69655311472917,376818.8326246978,3,1.0,0
5,279.6081800931439,430577.78266619187,5,1.0,0
6,249.64364101654982,390167.1765480023,6,1.0,0
3,548.3971644711522,831795.5097031,3,1.0,0
5,449.0711203069621,684772.9918860771,5,1.0,0
3,263.911898178161,403995.276973432,3,1.0,0
6,402.81658357123285,619882.7324989784,6,1.0,0
6,425.81441575722477,650167.7434600348,6,1.0,0
6,402.22153100002004,619833.9669324036,6,1.0,0
4,509.4722359301569,773498.6020479961,4,1.0,0
8,388.8980715549661,596086.2916775899,8,1.0,0
8,404.13192075731905,617838.3439125795,8,1.0,0
8,402.99162306912643,617559.1501807236,8,1.0,0
7,420.5222279676498,641862.3940311029,7,1.0,0
5,262.98847408204034,402971.6198258996,5,1.0,0
8,386.4136901571014,593905.5983554913,8,1.0,0
5,463.00137941884145,710379.215371962,5,1.0,0
6,438.7164358798415,674381.7965807694,6,1.0,0
3,260.43734371245614,403622.6525992316,3,1.0,0
7,415.4160540155908,639127.3933451299,7,1.0,0
4,507.3813976222042,771255.9266572403,4,1.0,0
4,335.6446204313273,511973.4074785964,4,1.0,0
5,208.8491905059725,325562.9026508357,5,1.0,0
7,277.066734211474,427411.17487656267,7,1.0,0
3,258.8283021618772,403440.19046798005,3,1.0,0
7,250.0562911832665,386548.4084690968,7,1.0,0
4,222.94261181583323,346458.47477407084,4,1.0,0
4,333.1179542272848,509077.52210636757,4,1.0,0
8,211.89088763769172,326444.7107242303,8,1.0,0
5,152.4737682357198,238472.65924406826,5,1.0,0
4,22.81386030951847,2235.7583103328097,4,1.0,0
7,277.15705858586205,425392.5630374201,7,1.0,0
2,12.918548250050733,1266.017728504972,2,1.0,0
6,286.5144455346013,442053.5109223316,6,1.0,0
6,228.08079160683388,353722.3020685011,6,1.0,0
5,150.99036341353047,237290.8474752029,5,1.0,0
7,219.78840782642752,339072.8943181529,7,1.0,0
4,172.17068001130608,270902.70416188583,4,1.0,0
4,332.1193540071437,508306.03765418124,4,1.0,0
4,326.2935091012885,500009.07800707954,4,1.0,0
8,251.30394854879026,389130.46035998815,8,1.0,0
4,236.52689534643247,371788.391878252,4,1.0,0
6,283.75877078955637,435088.20846025005,6,1.0,0
8,251.7140765459114,389099.5457867886,8,1.0,0
7,211.46365668637614,329833.9406184084,7,1.0,0
4,318.36495551168815,488425.35171637574,4,1.0,0
8,243.93141253981344,379584.93913759897,8,1.0,0
8,253.11588460953348,393559.6483880599,8,1.0,0
6,276.08094827423355,424681.738808487,6,1.0,0
5,234.8508835410248,364503.4425670765,5,1.0,0
8,252.437530088579,393210.46319252916,8,1.0,0
3,285.6481927126443,440327.18883103284,3,1.0,0
6,211.44174138518628,330116.1344229633,6,1.0,0
4,248.08536220175404,384505.46910802135,4,1.0,0
4,135.7929387789447,212586.05989803805,4,1.0,0
6,210.44673316542597,329593.0036953303,6,1.0,0
7,201.99615923850493,315514.4281759264,7,1.0,0
